Date,Consumer_Demand,Product_Price,Sales,Order_Total,Discount_Rate,Actual_Shipping_Days,Scheduled_Shipping_Days,Late_Delivery_Risk,Shipping_Delay_Days,Product_Category,Shipping_Mode,Market,Order_Region,Customer_Segment,Retailer_Order,Wholesaler_Order,Manufacturer_Order,Demand_Amplification,Bullwhip_Ratio,Lead_Time_Days,Supply_Disruption_Rate,Supply_Disruption,Inventory_Level,Price_Stress,Risk_Score,Risk_Label,Risk_Level_Num,Year,Month,Day_of_Year
2015-01-01,20,67.86366380436363,1702.2504015490001,1570.218929263,0.04094368136363636,4.090909090909091,2.5454545454545454,0.45454545454545453,0.18181818181818182,Camping & Hiking,Standard Class,LATAM,Central America,Consumer,37.6446,78.4032,110.9405,1.8822,1.0,4.09,0.455,0,523.2,0.506,20.0,LOW,0,2015,1,1
2015-01-02,20,100.59632120357142,1423.231965037,1236.549773623,0.05141378885714286,4.285714285714286,3.0,0.7142857142857143,1.7142857142857142,Men's Footwear,First Class,LATAM,Central America,Corporate,35.3286,59.56,139.4623,1.7664,1.0,4.29,0.714,1,526.44,0.75,50.0,MEDIUM,1,2015,1,2
2015-01-03,20,95.23571544028572,1194.390560755,1056.680329876,0.04327182028571429,3.857142857142857,3.142857142857143,0.2857142857142857,-0.14285714285714285,Cleats,Standard Class,LATAM,Central America,Consumer,38.2173,73.9661,112.2031,1.9109,1.0,3.86,0.286,0,526.77,0.7101,20.0,LOW,0,2015,1,3
2015-01-04,12,85.607142479125,1197.296382943,1088.0115480270001,0.051310896875,3.625,2.125,0.625,0.0,Camping & Hiking,Standard Class,Europe,Central America,Consumer,25.028,52.3994,139.9392,2.0857,1.0,3.62,0.625,1,529.42,0.6383,50.0,MEDIUM,1,2015,1,4
2015-01-05,24,123.80144355070001,2042.157312332,1800.646040873,0.062291783499999996,3.3,1.9,0.7,1.1,Camping & Hiking,Second Class,Europe,Central America,Consumer,41.9897,87.7809,281.5458,1.7496,1.9875,3.3,0.7,1,556.82,0.9231,69.75,HIGH,2,2015,1,5
2015-01-06,16,112.28363376916667,1889.096582695,1719.131892905,0.0553820425,3.8333333333333335,3.25,0.25,0.3333333333333333,Men's Footwear,Standard Class,LATAM,Central America,Consumer,27.9932,59.7096,121.1788,1.7496,1.9545,3.83,0.25,0,525.88,0.8372,39.09,MEDIUM,1,2015,1,6
2015-01-07,12,80.5966185846,907.576154352,806.691971252,0.042676418,4.2,2.4,0.6,0.8,Indoor/Outdoor Games,First Class,LATAM,Central America,Corporate,25.169,68.1359,64.3972,2.0974,1.916,4.2,0.6,1,514.21,0.6009,68.32,HIGH,2,2015,1,7
2015-01-08,16,89.6584330862,1330.813531822,1227.522592192,0.093065903,3.2,3.2,0.0,-0.2,Women's Apparel,Standard Class,Europe,South America,Consumer,30.9421,66.4183,167.4434,1.9339,1.8497,3.2,0.0,0,532.59,0.6685,36.99,MEDIUM,1,2015,1,8
2015-01-09,20,68.700305032,1597.898753406,1482.465197163,0.0409643854,3.8,2.4,0.6,1.4,Cleats,Standard Class,LATAM,Central America,Corporate,34.1776,63.8086,174.8252,1.7089,1.8228,3.8,0.6,1,533.33,0.5122,66.46,HIGH,2,2015,1,9
2015-01-10,16,71.9671537775,943.7953517410001,882.8810794679999,0.07847544816666667,3.0,3.1666666666666665,0.3333333333333333,-0.16666666666666666,Camping & Hiking,Standard Class,Pacific Asia,Central America,Consumer,30.2541,71.923,194.8324,1.8909,1.7898,3.0,0.333,0,539.09,0.5366,35.8,MEDIUM,1,2015,1,10
2015-01-11,19,126.202401663125,2040.425349717,1899.0793640949998,0.052670554375,4.5,2.75,0.625,1.0,Camping & Hiking,Standard Class,Europe,Eastern Asia,Consumer,32.4884,80.7958,292.8,1.7099,2.0746,4.5,0.625,1,560.2,0.941,71.49,HIGH,2,2015,1,11
2015-01-12,21,159.1816887567,1988.408131355,1766.08997893,0.06957023,2.7,3.1,0.4,-0.2,Men's Footwear,Standard Class,LATAM,Central America,Corporate,35.9,55.0566,88.9909,1.7095,2.2203,2.7,0.4,0,518.09,1.1869,46.27,MEDIUM,1,2015,1,12
2015-01-13,29,121.8625169922,2801.507369552,2498.258345105,0.07682054773333333,3.4,3.066666666666667,0.5333333333333333,0.06666666666666667,Camping & Hiking,Standard Class,LATAM,Central America,Consumer,53.2117,117.555,350.732,1.8349,2.0393,3.4,0.533,1,565.57,0.9086,70.79,HIGH,2,2015,1,13
2015-01-14,14,108.04350230442857,1093.999245929,980.190944592,0.08339741842857142,3.5714285714285716,3.4285714285714284,0.7142857142857143,1.0,Water Sports,Standard Class,Europe,South America,Home Office,20.7079,46.7072,166.7201,1.4791,1.9269,3.57,0.714,1,532.22,0.8056,68.54,HIGH,2,2015,1,14
2015-01-15,26,92.95815662454545,1988.486095446,1813.281537088,0.07274666336363636,3.8181818181818183,2.909090909090909,0.5454545454545454,0.36363636363636365,Indoor/Outdoor Games,Second Class,LATAM,Central America,Consumer,39.1888,72.3869,91.3375,1.5073,1.9366,3.82,0.545,1,518.08,0.6931,68.73,HIGH,2,2015,1,15
2015-01-16,15,111.7931450965,1317.749801018,1189.143144755,0.07314208850000001,2.6666666666666665,1.8333333333333333,0.3333333333333333,-0.3333333333333333,Women's Apparel,Standard Class,LATAM,Central America,Consumer,25.3964,65.5555,172.3997,1.6931,1.8656,2.67,0.333,0,534.37,0.8335,37.31,MEDIUM,1,2015,1,16
2015-01-17,13,71.87825754314285,1037.373138692,913.669552528,0.05530498700000001,3.0,3.0,0.2857142857142857,-0.5714285714285714,Water Sports,Standard Class,Europe,Central America,Consumer,21.0406,40.0284,78.8989,1.6185,1.8788,3.0,0.286,0,518.34,0.5359,37.58,MEDIUM,1,2015,1,17
2015-01-18,26,168.2503640430909,2666.8408783659997,2400.595851935,0.03911554363636363,3.4545454545454546,2.4545454545454546,0.5454545454545454,0.5454545454545454,Women's Apparel,Standard Class,LATAM,Western Europe,Consumer,48.0532,96.5992,220.7605,1.8482,1.7891,3.45,0.545,1,540.55,1.2545,68.33,HIGH,2,2015,1,18
2015-01-19,21,156.9427718006667,2421.477769337,2183.151114688,0.03676750933333333,3.1666666666666665,3.3333333333333335,0.5833333333333334,1.1666666666666667,Water Sports,Standard Class,Europe,Caribbean,Corporate,34.3467,65.0424,172.7364,1.6356,1.7868,3.17,0.583,1,535.61,1.1702,67.44,HIGH,2,2015,1,19
2015-01-20,16,140.6835496005,2184.429416532,1882.9490713359999,0.0953506662,3.5,2.6,0.4,0.1,Men's Footwear,Standard Class,LATAM,Central America,Consumer,24.882,48.9308,97.0202,1.5551,1.8306,3.5,0.4,0,521.79,1.0489,37.1,MEDIUM,1,2015,1,20
2015-01-21,21,87.29989203081817,1630.852766745,1497.468216741,0.040046497,3.272727272727273,3.0,0.7272727272727273,0.8181818181818182,Camping & Hiking,Standard Class,LATAM,Central America,Consumer,43.5484,68.5639,127.2698,2.0737,1.8597,3.27,0.727,1,530.22,0.6509,67.19,HIGH,2,2015,1,21
2015-01-22,21,108.97584104914286,1278.532113832,1178.6831510910001,0.052463723000000004,5.571428571428571,1.8571428571428572,0.42857142857142855,0.14285714285714285,Camping & Hiking,Second Class,LATAM,Central America,Consumer,36.7718,54.0478,128.62,1.751,1.8853,5.57,0.429,0,524.87,0.8125,40.56,MEDIUM,1,2015,1,22
2015-01-23,18,87.27312112671429,1153.766354433,1054.128518353,0.03563685071428572,3.2857142857142856,4.0,1.0,0.2857142857142857,Women's Apparel,Standard Class,LATAM,Central America,Consumer,32.4568,87.5281,140.6767,1.8032,1.8911,3.29,1.0,1,529.02,0.6507,67.82,HIGH,2,2015,1,23
2015-01-24,17,124.28454285349999,1536.3161876499998,1365.941871365,0.0803176542,3.2,3.2,0.7,-0.6,Water Sports,Standard Class,LATAM,Central America,Consumer,26.4043,43.697,70.2656,1.5532,1.9815,3.2,0.7,1,515.02,0.9267,69.63,HIGH,2,2015,1,24
2015-01-25,27,97.2222732751,1475.826920371,1310.7591223250001,0.0486141722,2.9,3.4,0.7,0.0,Indoor/Outdoor Games,Standard Class,Europe,Central America,Consumer,45.7955,73.6301,219.6149,1.6961,1.8892,2.9,0.7,1,544.45,0.7249,67.78,HIGH,2,2015,1,25
2015-01-26,18,55.242470510714284,1010.988384185,977.125801866,0.029563408000000003,2.5714285714285716,3.2857142857142856,0.7142857142857143,1.0,Water Sports,Standard Class,LATAM,Central America,Corporate,32.598,41.5426,65.3451,1.811,1.9868,2.57,0.714,1,512.89,0.4119,69.74,HIGH,2,2015,1,26
2015-01-27,41,129.10273246311763,3006.78968113,2699.670207115,0.05648520111764705,3.3529411764705883,3.0,0.5882352941176471,0.35294117647058826,Men's Footwear,Standard Class,Europe,Central America,Consumer,65.4482,112.9126,335.2459,1.5963,1.6117,3.35,0.588,1,568.84,0.9626,62.23,HIGH,2,2015,1,27
2015-01-28,15,48.73985085383333,888.36231806,808.316642855,0.050431999166666665,2.8333333333333335,2.6666666666666665,0.5,-1.3333333333333333,Cleats,Standard Class,LATAM,Central America,Corporate,27.8939,41.9692,116.034,1.8596,1.6033,2.83,0.5,1,519.41,0.3634,62.07,HIGH,2,2015,1,28
2015-01-29,13,58.5566090242,799.973015289,714.449666789,0.035008571599999996,3.2,2.6,0.8,1.4,Women's Apparel,Standard Class,LATAM,Central America,Consumer,21.926,59.6935,76.7252,1.6866,1.609,3.2,0.8,1,516.23,0.4366,62.18,HIGH,2,2015,1,29
2015-01-30,17,100.78845887466667,1117.792612135,953.705357699,0.10812828416666666,3.3333333333333335,3.1666666666666665,0.3333333333333333,0.0,Women's Apparel,Standard Class,LATAM,Central America,Consumer,29.5721,70.9476,131.6089,1.7395,1.6082,3.33,0.333,0,526.54,0.7515,32.16,MEDIUM,1,2015,1,30
2015-01-31,25,140.29651701692308,2302.655859821,2127.763411706,0.05970946876923077,3.3076923076923075,2.5384615384615383,0.6923076923076923,0.0,Water Sports,Second Class,LATAM,Central America,Consumer,42.1608,72.0247,257.2345,1.6864,1.5855,3.31,0.692,1,550.89,1.0461,62.17,HIGH,2,2015,1,31
2015-02-01,13,128.2620908055,827.2578196540001,737.644994084,0.09016222175,3.0,3.25,0.5,-0.25,Fishing,Standard Class,LATAM,Central America,Corporate,28.0213,86.1938,143.7723,2.1555,1.535,3.0,0.5,1,531.42,0.9563,60.7,HIGH,2,2015,2,32
2015-02-02,26,135.71861807866668,1844.362991911,1764.369694458,0.04886552422222222,3.111111111111111,2.5555555555555554,0.5555555555555556,-0.4444444444444444,Women's Apparel,Standard Class,LATAM,South America,Consumer,46.5038,110.9449,221.7461,1.7886,1.4934,3.11,0.556,1,542.59,1.0119,59.99,MEDIUM,1,2015,2,33
2015-02-03,12,168.888017034125,1614.521069787,1443.525538629,0.05325112075,3.625,3.0,0.25,1.25,Camping & Hiking,Standard Class,LATAM,Central America,Consumer,19.3351,35.5203,98.1862,1.6113,1.5213,3.62,0.25,0,519.15,1.2592,33.02,MEDIUM,1,2015,2,34
2015-02-04,29,166.77202392845456,2525.108965089,2244.96808475,0.05937940409090909,2.6363636363636362,2.272727272727273,0.6363636363636364,-0.36363636363636365,Camping & Hiking,Second Class,Europe,Central America,Consumer,56.3925,67.061,207.4376,1.9446,1.4632,2.64,0.636,1,547.26,1.2435,61.7,MEDIUM,1,2015,2,35
2015-02-05,16,140.77568873871428,1326.5332945979999,1254.6619071270002,0.028606711,3.0,3.2857142857142856,0.8571428571428571,1.1428571428571428,Cleats,Standard Class,Europe,Central America,Consumer,25.363,78.62,169.2926,1.5852,1.4425,3.0,0.857,1,532.53,1.0496,59.35,MEDIUM,1,2015,2,36
2015-02-06,15,177.2958216395,1963.57418544,1722.279621711,0.08832690525,2.875,3.0,0.25,-0.625,Cleats,Standard Class,LATAM,Central America,Consumer,27.4324,40.7296,77.701,1.8288,1.4581,2.88,0.25,0,514.72,1.3219,32.38,MEDIUM,1,2015,2,37
2015-02-07,11,159.86713298225,1348.628228055,1222.042876015,0.030930566,3.875,2.875,0.75,1.125,Water Sports,Standard Class,LATAM,Southern Europe,Corporate,16.1952,22.8461,88.3806,1.4723,1.4545,3.88,0.75,1,517.51,1.192,61.01,MEDIUM,1,2015,2,38
2015-02-08,19,161.751483994125,1836.442312691,1669.092223436,0.041144059625,3.25,3.5,0.625,0.5,Camping & Hiking,Standard Class,LATAM,Southern Europe,Consumer,29.797,71.6697,309.7371,1.5683,1.4974,3.25,0.625,1,563.54,1.206,62.01,MEDIUM,1,2015,2,39
2015-02-09,34,94.57657488611765,2580.416497412,2253.834857766,0.060645505588235296,3.764705882352941,3.0588235294117645,0.7058823529411765,0.5882352941176471,Cleats,Standard Class,LATAM,Central America,Consumer,62.1054,198.3297,656.9264,1.8266,1.9549,3.76,0.706,1,632.09,0.7052,69.1,HIGH,2,2015,2,40
2015-02-10,27,90.0196467,2103.999775658,1942.167956491,0.055944297846153845,3.8461538461538463,2.5384615384615383,0.6923076923076923,0.8461538461538461,Camping & Hiking,Standard Class,LATAM,Central America,Consumer,52.0638,134.6221,326.1554,1.9283,1.96,3.85,0.692,1,561.74,0.6712,69.2,HIGH,2,2015,2,41
2015-02-11,34,95.52419042554544,1650.1699648430001,1490.922384486,0.0716199360909091,3.8181818181818183,3.090909090909091,0.8181818181818182,0.0,Camping & Hiking,Standard Class,LATAM,Caribbean,Consumer,61.9473,135.9399,240.8949,1.822,1.8297,3.82,0.818,1,546.37,0.7122,66.59,HIGH,2,2015,2,42
2015-02-12,17,120.74905162625,1425.01938982,1242.9811978100001,0.088891352,3.5,2.25,0.5,-0.125,Camping & Hiking,First Class,Europe,Northern Europe,Corporate,30.0973,66.4555,116.8532,1.7704,1.8502,3.5,0.5,1,522.34,0.9003,67.0,HIGH,2,2015,2,43
2015-02-13,7,127.98977206250001,895.645459856,798.655271498,0.0581698965,3.5,3.5,0.5,0.5,Cardio Equipment,Standard Class,Europe,Oceania,Consumer,12.1653,28.2874,79.865,1.7379,1.8037,3.5,0.5,1,515.92,0.9543,66.07,HIGH,2,2015,2,44
2015-02-14,11,188.65798576683332,1373.5121208,1237.729328229,0.06631894083333334,2.8333333333333335,3.1666666666666665,0.8333333333333334,0.6666666666666666,Camping & Hiking,Standard Class,LATAM,West of USA ,Consumer,16.9935,38.7745,105.5561,1.5449,1.7268,2.83,0.833,1,521.58,1.4066,68.6,HIGH,2,2015,2,45
