Date,Year,Month,Day_of_Year,Product,Consumer_Demand,Retailer_Order,Wholesaler_Order,Manufacturer_Order,Inventory_Level,Lead_Time_Days,Supply_Disruption,Temperature_C,Wind_Speed_kmh,Rainfall_mm,Commodity_Price_INR,News_Sentiment,Demand_Amplification,Bullwhip_Ratio,Risk_Score,Risk_Label,Risk_Level_Num
2020-01-01,2020,1,1,Rice,769.89,1377.29,2843.78,7629.19,3563.0,5,1,23.6,9.3,0.0,4466.0,-0.17,1.789,1.0,55.51,MEDIUM,1
2020-01-02,2020,1,2,Wheat,753.71,1444.86,3112.05,6869.25,3222.0,7,0,24.9,9.2,0.5,4028.0,-0.363,1.917,1.0,32.1,LOW,0
2020-01-03,2020,1,3,Tomato,720.64,1351.77,2742.87,6647.99,3090.0,7,0,22.5,9.5,0.3,4023.0,-0.283,1.876,1.0,31.64,LOW,0
2020-01-04,2020,1,4,Onion,735.9,1297.45,2603.56,6453.82,3066.0,5,0,25.8,12.1,0.6,4029.0,-0.435,1.763,1.0,22.46,LOW,0
2020-01-05,2020,1,5,Sugar,682.61,1189.39,2324.0,6104.8,2974.0,7,1,24.5,4.7,0.1,3989.0,-0.216,1.742,1.8501,73.83,HIGH,2
2020-01-06,2020,1,6,Milk,714.26,1312.86,2796.88,7063.2,3340.0,4,0,24.9,7.3,0.2,4035.0,-0.15,1.838,1.8316,28.57,MEDIUM,1
2020-01-07,2020,1,7,Rice,710.82,1275.17,2674.42,6941.38,3274.0,4,0,26.2,11.0,0.3,4013.0,-0.418,1.794,1.7765,28.87,MEDIUM,1
2020-01-08,2020,1,8,Wheat,813.97,1581.99,3255.83,8255.88,3819.0,6,0,22.5,5.7,1.4,4061.0,-0.125,1.944,1.7489,37.47,MEDIUM,1
2020-01-09,2020,1,9,Tomato,742.69,1367.33,2747.94,7189.26,3310.0,6,0,22.9,9.0,0.1,4070.0,-0.322,1.841,1.7522,38.59,MEDIUM,1
2020-01-10,2020,1,10,Onion,919.69,1574.79,3293.65,7970.87,3605.0,5,0,23.2,10.9,0.3,3931.0,-0.406,1.712,1.0555,22.86,LOW,0
2020-01-11,2020,1,11,Sugar,722.28,1242.75,2498.23,6115.87,3054.0,7,0,23.0,10.0,0.2,3802.0,-0.526,1.721,1.162,35.06,LOW,0
2020-01-12,2020,1,12,Milk,840.96,1499.32,2895.3,7491.12,3468.0,7,0,23.1,11.1,0.3,4047.0,-0.697,1.783,1.1022,35.49,LOW,0
2020-01-13,2020,1,13,Rice,787.89,1386.47,2557.94,6415.89,3015.0,6,0,22.4,11.4,0.6,3987.0,-0.497,1.76,1.1457,29.67,LOW,0
2020-01-14,2020,1,14,Wheat,823.57,1369.72,2755.73,7220.18,3449.0,7,0,24.2,8.2,0.6,3983.0,-0.215,1.663,1.1163,32.82,LOW,0
2020-01-15,2020,1,15,Tomato,801.48,1496.99,3020.16,7109.38,3387.0,7,0,25.6,14.0,0.1,3991.0,-0.739,1.868,1.1081,35.32,LOW,0
2020-01-16,2020,1,16,Onion,841.8,1543.41,2795.65,7751.77,3673.0,7,0,24.2,11.6,1.9,3932.0,-0.396,1.833,1.1058,33.57,LOW,0
2020-01-17,2020,1,17,Sugar,784.43,1582.68,3264.39,7825.21,3660.0,4,0,22.4,11.4,1.4,4535.0,-0.186,2.018,1.1454,23.46,LOW,0
2020-01-18,2020,1,18,Milk,704.3,1286.69,2579.9,6382.42,3141.0,5,0,23.3,8.2,0.3,3989.0,-0.211,1.827,1.1461,23.25,LOW,0
2020-01-19,2020,1,19,Rice,816.96,1417.66,2985.22,7481.45,3456.0,6,0,25.3,13.2,0.6,4127.0,-0.581,1.735,1.1407,31.29,LOW,0
2020-01-20,2020,1,20,Wheat,819.14,1438.02,2857.66,6609.01,3198.0,5,0,27.0,6.4,0.1,4652.0,-0.542,1.756,1.1487,31.46,LOW,0
2020-01-21,2020,1,21,Tomato,816.6,1399.47,2698.84,6967.2,3282.0,7,0,22.9,10.6,0.0,4228.0,-0.21,1.714,1.1399,35.43,LOW,0
2020-01-22,2020,1,22,Onion,793.15,1528.74,2991.14,7214.87,3305.0,5,0,23.1,9.6,0.6,3994.0,-0.305,1.927,1.1394,23.62,LOW,0
2020-01-23,2020,1,23,Sugar,868.85,1651.96,3366.24,9082.67,4106.0,5,0,22.0,15.5,0.1,4039.0,0.162,1.901,1.3178,24.35,LOW,0
