Order_Date,Product_Category,Product_Name,Order_Quantity,Product_Price,Order_Item_Price,Sales,Discount,Discount_Rate,Order_Total,Actual_Shipping_Days,Scheduled_Shipping_Days,Late_Delivery_Risk,Shipping_Mode,Market,Order_Region,Customer_Segment,Order_Status,Delivery_Status,Shipping_Delay_Days,Revenue_Per_Item,Discount_Amount_Per_Item
2016-11-06 17:37:59,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,1,174.037926693,174.052680344,285.80939254,50.65163308,0.148146161,250.7731454,2,4,0,Standard Class,Pacific Asia,South Asia,Corporate,PENDING_PAYMENT,Shipping on time,0,179.34896190453966,32.83159378312222
2016-12-14 07:40:47,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,4,14.30094523,14.293915693,68.779182663,12.985260427,0.114004442,65.315320079,5,4,0,Standard Class,LATAM,South America,Corporate,PENDING,Advance shipping,-2,13.617662151736429,4.534488324357796
2015-08-08 07:58:30,Cleats,Field & Stream Sportsman 16 Gun Fire Safe,1,105.264134801,105.293890611,116.106839694,8.866006138,0.025098726,113.839902083,2,4,0,Standard Class,Pacific Asia,Caribbean,Consumer,COMPLETE,Late delivery,-1,105.23911099413405,10.644660755289586
2017-03-28 16:44:53,Cleats,O'Brien Men's Neoprene Life Vest,2,57.167791856,57.197535074,281.989597284,4.323875548,0.024279796,255.788873336,3,2,1,Standard Class,LATAM,Central America,Corporate,PROCESSING,Late delivery,0,55.982886204728516,2.275812764688473
2015-06-10 23:04:26,Women's Apparel,Nike Men's CJ Elite 2 TD Football Cleat,1,264.966902742,264.827643587,155.376309436,6.672374254,0.016411179,143.403862459,5,4,1,Second Class,Europe,Western Europe,Home Office,CLOSED,Late delivery,1,278.9354978319585,12.179953493555296
2016-03-29 00:59:53,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,2,10.496234615,10.496347213,35.457953992,11.211511995,0.089177489,23.896445915,6,4,1,Standard Class,USCA,South America,Corporate,COMPLETE,Advance shipping,-1,10.389400126138762,2.552959320632018
2015-12-22 20:18:25,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,1,26.442032998,26.421643992,47.19665316,8.809735327,0.05305146,42.806628581,4,2,1,Standard Class,LATAM,Central America,Consumer,PENDING,Late delivery,3,25.46827027394528,5.373296026998622
2017-07-25 15:23:25,Sporting Goods,Web Camera,1,28.457885495,28.47412947,72.458685514,13.475250392,0.066070782,60.693201959,5,2,1,Second Class,LATAM,Central America,Corporate,PROCESSING,Shipping canceled,1,26.577956015526638,8.027821118371918
2017-03-06 03:08:43,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,1,69.786798365,69.830567267,83.469052488,9.263072014,0.013044584,78.478537049,6,2,1,Standard Class,USCA,Central Asia,Corporate,COMPLETE,Late delivery,2,68.98101407043505,9.375936075021954
2015-07-03 00:37:21,Indoor/Outdoor Games,Nike Men's Free 5.0+ Running Shoe,4,29.006797527,29.018437912,13.857315113,1.30507696,0.019837496,13.658436168,2,4,1,Standard Class,Europe,Western Europe,Consumer,COMPLETE,Advance shipping,-2,27.51780411079601,2.469320228121417
2016-06-26 04:13:37,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2,53.997487656,53.985139052,279.674118483,6.007434772,0.01471765,281.575536718,5,4,0,Standard Class,LATAM,East of USA,Home Office,PROCESSING,Late delivery,-2,52.729539515544374,2.6059516935491347
2016-01-21 08:38:51,Water Sports,Nike Men's Dri-FIT Victory Golf Polo,3,38.086549143,38.068590019,105.700793093,7.209586949,0.039296002,102.90982872,2,4,1,Standard Class,LATAM,South America,Consumer,CLOSED,Advance shipping,-2,36.8251805308729,4.0720795781386965
2017-05-09 10:55:25,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,1,199.365474336,199.404520525,349.859125084,50.950874075,0.056123159,298.79636911,2,2,0,Second Class,USCA,US Center ,Consumer,PENDING,Late delivery,-2,208.25497018380818,31.385936263976905
2016-02-14 02:38:45,Women's Apparel,Pelican Sunstream 100 Kayak,1,86.197256261,86.206427694,66.523449218,1.1743147,0.010105053,57.406764757,3,4,0,Standard Class,Pacific Asia,West of USA ,Consumer,PENDING,Late delivery,-1,86.45604426381078,2.3753531759550524
2015-09-22 21:42:35,Electronics,Nike Men's Free 5.0+ Running Shoe,1,141.259323831,141.226930848,129.160120086,21.75153053,0.017368196,119.435468528,2,2,1,Standard Class,Europe,South Asia,Home Office,ON_HOLD,Late delivery,-1,143.1088977935952,16.300068996979643
2015-10-23 20:37:28,Water Sports,Pelican Sunstream 100 Kayak,3,116.08122333,116.18521846,283.727553384,25.08703898,0.076635159,237.820343865,5,2,1,First Class,LATAM,South America,Consumer,CLOSED,Late delivery,-1,117.60820464191895,16.36336925229312
2016-06-08 01:53:48,Shop By Sport,Field & Stream Sportsman 16 Gun Fire Safe,2,17.378910847,17.382602005,180.939842996,12.624359235,0.019643983,165.499584301,2,4,0,Standard Class,LATAM,Central America,Corporate,PENDING_PAYMENT,Late delivery,-1,16.3969596114833,2.4416235645574575
2017-09-30 19:07:42,Fishing,Nike Dri-FIT Crew Sock 6 Pack,4,177.016539986,177.076145621,374.439773308,8.831416994,0.012238611,375.76462667,3,0,1,First Class,Africa,West Africa,Consumer,PAYMENT_REVIEW,Late delivery,2,182.94445405939973,6.010739877117078
2016-11-25 11:02:03,Men's Footwear,O'Brien Men's Neoprene Life Vest,1,315.913593673,315.96790517,418.835899873,50.771211928,0.050858007,378.954143233,0,4,0,Standard Class,Europe,Southeast Asia,Consumer,COMPLETE,Shipping canceled,0,332.7133894840842,38.658087953904165
2017-02-28 08:36:57,Children's Clothing,adidas Men's Germany Black Crest Away Tee,1,173.330136976,173.326339963,140.438280965,0.037879713,0.01003956,144.956042085,0,2,0,Standard Class,Europe,Southern Europe,Consumer,COMPLETE,Advance shipping,1,180.6995333950188,0.27580752760193655
2015-12-10 23:45:05,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,2,27.489954288,27.506217621,84.678050599,0.519932608,0.010521868,84.180023888,2,0,1,Same Day,Europe,South America,Consumer,COMPLETE,Advance shipping,0,25.55945617036609,0.39297384663453333
2017-09-22 10:45:55,Electronics,Titleist Pro V1x High Numbers Golf Balls,2,11.146861589,11.147134133,56.972902803,13.949121007,0.123379442,48.663755774,2,4,0,Standard Class,USCA,South of  USA ,Consumer,COMPLETE,Advance shipping,-2,10.866403278530466,4.53190917078991
2016-03-04 16:13:12,Computers,Cleveland Golf Collegiate My Custom Wedge 588,1,122.738028099,122.690545048,170.705911943,15.295012635,0.079807778,151.938059018,3,4,0,Standard Class,LATAM,Western Europe,Consumer,PROCESSING,Advance shipping,-1,122.96099666678677,12.203597245411563
2016-08-22 17:19:53,Cleats,Nike Men's Free 5.0+ Running Shoe,1,310.15970871,310.181271381,285.94853962,31.609411437,0.029714372,260.748384344,4,4,1,Second Class,LATAM,Central America,Home Office,PENDING,Shipping on time,1,326.507439826315,33.994631455779384
2016-11-02 22:34:45,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,1,99.37222504,99.325032317,120.194961661,0.017774701,0.010361023,116.891464036,3,4,1,Second Class,USCA,Eastern Europe,Consumer,PENDING,Late delivery,2,100.97423724584485,0.1959531402060587
2017-10-02 15:22:42,Water Sports,Pelican Sunstream 100 Kayak,1,99.994815458,99.932138446,180.429129917,25.243235233,0.09188977,166.148897644,5,4,1,Standard Class,Europe,Southeast Asia,Home Office,PROCESSING,Shipping on time,0,100.95510575007552,18.838141726788432
