Date,City,State,Country,Product,Temperature,Humidity,Rainfall,WindSpeed,CommodityPrice,FuelPrice,Demand,Inventory,LeadTime,TransportDelay,Festival,Holiday,MarketSentiment,GovernmentAlert,PortDelay,RailwayDelay,RiskLevel
2025-01-01,Delhi,Delhi,India,Onion,18.5,84,130,26.9,43,95.94,1489,2817,3,8,1,1,Neutral,1,0,1,High
2025-01-02,Kolkata,West Bengal,India,Banana,36.5,70,197,30.0,68,108.86,2638,1804,9,6,0,0,Neutral,1,0,0,High
2025-01-03,Chennai,Tamil Nadu,India,Apple,28.8,73,195,2.1,104,102.0,2077,1448,5,10,1,1,Neutral,1,0,1,High
2025-01-04,Nashik,Maharashtra,India,Cooking Oil,26.7,37,198,3.0,115,101.53,946,1779,6,8,1,1,Negative,0,0,1,High
2025-01-05,Nashik,Maharashtra,India,Wheat,39.2,84,196,27.9,73,101.28,2099,1701,5,3,0,0,Neutral,1,1,0,High
2025-01-06,Delhi,Delhi,India,Potato,18.0,54,114,5.0,84,107.2,2103,683,8,3,0,0,Neutral,0,0,1,Medium
2025-01-07,Mumbai,Maharashtra,India,Rice,39.8,39,89,7.4,31,108.2,2504,1924,2,9,0,1,Positive,0,1,0,Medium
2025-01-08,Delhi,Delhi,India,Rice,25.8,70,26,12.6,88,101.25,2602,2915,8,5,0,1,Neutral,1,0,0,Medium
2025-01-09,Chennai,Tamil Nadu,India,Rice,22.1,95,96,24.5,27,93.3,2398,1488,4,9,0,1,Negative,0,0,0,Medium
2025-01-10,Delhi,Delhi,India,Sugar,27.1,61,68,27.9,77,108.24,975,1528,5,5,0,1,Negative,0,1,0,Low
2025-01-11,Pune,Maharashtra,India,Milk,33.3,50,74,2.1,29,97.88,1069,2933,3,6,1,0,Neutral,0,1,0,Medium
2025-01-12,Bengaluru,Karnataka,India,Banana,39.3,54,217,28.2,99,93.61,1102,2740,10,9,1,0,Negative,1,1,0,High
2025-01-13,Pune,Maharashtra,India,Rice,35.5,77,182,19.9,50,98.99,1848,1816,10,8,0,1,Negative,1,0,0,High
2025-01-14,Pune,Maharashtra,India,Tomato,18.8,47,106,13.6,65,105.26,890,1337,2,8,0,0,Negative,1,0,1,Medium
2025-01-15,Nashik,Maharashtra,India,Cooking Oil,37.6,41,41,18.7,33,103.62,630,1134,10,0,1,1,Negative,0,1,1,Low
2025-01-16,Bengaluru,Karnataka,India,Milk,29.8,64,205,12.7,110,101.67,2316,1464,8,7,0,0,Neutral,1,0,1,High
2025-01-17,Pune,Maharashtra,India,Banana,34.4,87,174,13.2,22,95.04,2858,1532,9,7,0,1,Positive,0,0,1,High
2025-01-18,Kolkata,West Bengal,India,Apple,26.8,87,31,28.8,57,101.98,1327,928,1,2,0,0,Negative,0,0,1,Medium
2025-01-19,Kolkata,West Bengal,India,Tomato,38.2,93,85,25.2,44,106.4,1419,2641,7,7,0,0,Negative,0,0,0,Low
2025-01-20,Kolkata,West Bengal,India,Rice,34.6,50,185,13.9,114,90.61,2267,1251,4,10,1,1,Neutral,0,0,1,High
2025-01-21,Nashik,Maharashtra,India,Banana,36.1,80,220,12.8,35,100.93,2773,967,10,8,1,0,Positive,1,0,0,High
2025-01-22,Bengaluru,Karnataka,India,Onion,24.1,58,140,22.6,35,100.79,1579,2695,4,1,1,0,Negative,0,0,1,Medium
2025-01-23,Hyderabad,Telangana,India,Onion,29.1,82,197,13.1,86,105.29,1894,2531,7,10,1,0,Negative,0,0,0,High
2025-01-24,Kolkata,West Bengal,India,Rice,26.8,87,188,13.9,99,100.9,2954,1408,3,3,0,0,Negative,1,1,1,High
2025-01-25,Bengaluru,Karnataka,India,Onion,33.1,37,54,17.7,99,96.38,1730,1287,8,1,0,0,Positive,1,1,1,High
2025-01-26,Delhi,Delhi,India,Sugar,22.0,88,63,21.4,67,105.99,688,916,7,9,1,1,Positive,0,0,0,Medium
2025-01-27,Kolkata,West Bengal,India,Milk,30.5,73,125,6.0,78,105.21,2128,1991,5,8,1,0,Positive,0,1,1,High
2025-01-28,Bengaluru,Karnataka,India,Onion,25.7,84,219,22.7,96,106.39,2138,2663,9,9,0,1,Neutral,1,0,0,High
2025-01-29,Pune,Maharashtra,India,Banana,22.0,52,203,8.2,49,99.51,2260,1180,1,9,0,0,Negative,1,0,1,High
