Date,City,State,Country,Product,Temperature,Humidity,Rainfall,WindSpeed,CommodityPrice,FuelPrice,Demand,Inventory,LeadTime,TransportDelay,Festival,Holiday,MarketSentiment,GovernmentAlert,PortDelay,RailwayDelay,RiskLevel,InventoryGap,InventoryRatio,DemandSupplyRatio,WeatherSeverity,SupplyStress,TransportRisk,FuelImpact,MarketRisk,DelayScore,ExternalDisruption
2025-01-01,Delhi,Delhi,India,Onion,18.5,84,130,26.9,43,95.94,1489,2817,3,8,1,1,Neutral,1,0,1,High,-1328,1.89,0.53,62.74,129,2.67,767.52,1,10,3
2025-01-02,Kolkata,West Bengal,India,Banana,36.5,70,197,30.0,68,108.86,2638,1804,9,6,0,0,Neutral,1,0,0,High,834,0.68,1.46,92.03,612,0.67,653.16,1,6,1
2025-01-03,Chennai,Tamil Nadu,India,Apple,28.8,73,195,2.1,104,102.0,2077,1448,5,10,1,1,Neutral,1,0,1,High,629,0.7,1.43,83.29,520,2.0,1020.0,1,12,3
2025-01-04,Nashik,Maharashtra,India,Cooking Oil,26.7,37,198,3.0,115,101.53,946,1779,6,8,1,1,Negative,0,0,1,High,-833,1.88,0.53,84.82,690,1.33,812.24,2,10,2
2025-01-05,Nashik,Maharashtra,India,Wheat,39.2,84,196,27.9,73,101.28,2099,1701,5,3,0,0,Neutral,1,1,0,High,398,0.81,1.23,91.01,365,0.6,303.84,1,5,1
2025-01-06,Delhi,Delhi,India,Potato,18.0,54,114,5.0,84,107.2,2103,683,8,3,0,0,Neutral,0,0,1,Medium,1420,0.32,3.08,49.76,672,0.38,321.6,1,5,0
2025-01-07,Mumbai,Maharashtra,India,Rice,39.8,39,89,7.4,31,108.2,2504,1924,2,9,0,1,Positive,0,1,0,Medium,580,0.77,1.3,39.84,62,4.5,973.8,0,11,1
2025-01-08,Delhi,Delhi,India,Rice,25.8,70,26,12.6,88,101.25,2602,2915,8,5,0,1,Neutral,1,0,0,Medium,-313,1.12,0.89,14.59,704,0.62,506.25,1,5,2
2025-01-09,Chennai,Tamil Nadu,India,Rice,22.1,95,96,24.5,27,93.3,2398,1488,4,9,0,1,Negative,0,0,0,Medium,910,0.62,1.61,47.64,108,2.25,839.7,2,9,1
2025-01-10,Delhi,Delhi,India,Sugar,27.1,61,68,27.9,77,108.24,975,1528,5,5,0,1,Negative,0,1,0,Low,-553,1.57,0.64,36.73,385,1.0,541.2,2,7,1
2025-01-11,Pune,Maharashtra,India,Milk,33.3,50,74,2.1,29,97.88,1069,2933,3,6,1,0,Neutral,0,1,0,Medium,-1864,2.74,0.36,31.98,87,2.0,587.28,1,8,1
2025-01-12,Bengaluru,Karnataka,India,Banana,39.3,54,217,28.2,99,93.61,1102,2740,10,9,1,0,Negative,1,1,0,High,-1638,2.49,0.4,100.0,990,0.9,842.49,2,11,2
2025-01-13,Pune,Maharashtra,India,Rice,35.5,77,182,19.9,50,98.99,1848,1816,10,8,0,1,Negative,1,0,0,High,32,0.98,1.02,82.81,500,0.8,791.92,2,8,2
